order_id,region,category,channel,amount
109,south,toy,app,354
110,west,sport,web,371
111,north,home,store,388
112,west,beauty,web,405
113,south,sport,app,422
114,north,sport,web,439
115,south,food,store,456
116,north,sport,store,473
117,east,beauty,store,490
118,west,digital,store,7
119,south,food,store,24
120,south,home,web,41
121,south,beauty,store,58
122,south,sport,web,75
123,west,book,web,92
124,north,toy,web,109
125,south,toy,web,126
126,east,sport,store,143
127,south,office,store,160
128,south,book,app,177
129,east,digital,web,194
130,north,digital,store,211
131,west,beauty,app,228
132,east,digital,web,245
133,west,beauty,store,262
134,east,food,web,279
135,east,food,app,296
136,south,office,app,313
137,south,digital,app,330
138,north,food,app,347
139,west,toy,web,364
140,east,toy,store,381
141,east,toy,store,398
142,north,office,web,415
143,west,home,app,432
144,west,book,store,449
145,west,office,store,466
146,east,food,web,483
147,north,sport,web,500
148,west,digital,store,17
149,west,toy,web,34
150,south,toy,app,51
151,east,digital,store,68
152,west,sport,app,85
153,north,digital,store,102
154,south,digital,store,119
155,west,toy,store,136
156,north,book,web,153
157,east,home,app,170
158,south,food,web,187
159,north,beauty,app,204
160,north,home,store,221
161,south,office,app,238
162,east,office,web,255
163,north,food,app,272
164,north,book,app,289
165,south,beauty,web,306
166,south,home,app,323
167,south,office,app,340
168,east,digital,store,357
169,west,office,app,374
170,south,book,store,391
171,south,sport,app,408
172,east,food,web,425
173,south,food,app,442
174,west,home,app,459
175,north,office,store,476
176,west,food,app,493
177,east,toy,store,10
178,north,office,web,27
179,east,sport,web,44
180,east,office,store,61
181,east,home,app,78
182,east,book,web,95
183,north,home,app,112
184,north,digital,app,129
185,south,food,app,146
186,west,food,web,163
187,south,beauty,web,180
188,north,toy,app,197
189,south,food,web,214
190,west,digital,web,231
191,north,toy,web,248
192,west,food,web,265
193,south,beauty,app,282
194,west,digital,web,299
195,south,food,app,316
196,east,home,web,333
197,east,office,store,350
198,east,toy,web,367
199,east,beauty,store,384
200,east,sport,app,401
201,south,office,web,418
202,west,book,web,435
203,north,home,app,452
204,north,sport,app,469
205,south,office,store,486
206,south,sport,store,3
207,north,office,app,20
208,west,food,app,37
209,west,digital,app,54
210,west,sport,web,71
211,north,office,store,88
212,south,beauty,store,105
213,north,toy,web,122
214,north,sport,store,139
215,north,beauty,app,156
216,south,office,store,173
217,south,toy,store,190
218,north,office,app,207
219,north,digital,app,224
220,south,beauty,app,241
221,west,digital,store,258
222,south,digital,app,275
223,east,toy,app,292
224,west,office,store,309
225,north,book,web,326
226,south,home,app,343
227,east,digital,app,360
228,west,toy,web,377
229,north,digital,web,394
230,west,food,app,411
231,north,home,web,428
232,west,toy,store,445
233,east,digital,app,462
234,south,beauty,store,479
235,west,sport,store,496
236,west,food,app,13
237,north,beauty,store,30
238,east,home,app,47
239,west,food,store,64
240,north,beauty,app,81
241,west,food,web,98
242,south,toy,app,115
243,north,sport,store,132
244,south,beauty,store,149
245,west,food,web,166
246,north,office,app,183
247,east,toy,store,200
248,north,toy,web,217
249,north,home,web,234
250,south,digital,web,251
251,south,beauty,web,268
252,north,beauty,app,285
253,north,digital,store,302
254,west,beauty,web,319
255,south,beauty,store,336
256,west,sport,store,353
257,east,beauty,app,370
258,west,sport,store,387
259,north,toy,app,404
260,south,office,web,421
261,north,digital,store,438
262,south,food,store,455
263,east,home,web,472
264,east,home,web,489
265,south,toy,web,6
266,west,digital,app,23
267,south,digital,app,40
268,west,home,web,57
269,south,book,web,74
270,south,sport,app,91
271,south,food,store,108
272,south,beauty,app,125
273,east,food,app,142
274,south,sport,store,159
275,north,digital,web,176
276,north,office,store,193
277,south,digital,store,210
278,west,beauty,app,227
279,west,digital,web,244
280,south,food,store,261
281,west,office,web,278
282,north,sport,web,295
283,west,food,web,312
284,east,sport,web,329
285,west,toy,app,346
286,north,beauty,web,363
287,west,book,app,380
288,east,office,store,397
289,east,beauty,web,414
290,west,beauty,app,431
291,south,office,store,448
292,east,food,app,465
293,east,sport,app,482
294,north,office,store,499
295,west,digital,app,16
296,east,beauty,store,33
297,north,office,app,50
298,west,beauty,store,67
299,west,book,web,84
300,south,sport,web,101
301,west,food,app,118
302,south,food,app,135
303,north,book,app,152
304,west,digital,app,169
305,west,food,app,186
306,north,home,store,203
307,west,digital,store,220
308,north,digital,app,237
309,south,beauty,store,254
310,east,beauty,app,271
311,east,sport,app,288
312,east,digital,store,305
313,east,book,app,322
314,west,office,app,339
315,east,toy,store,356
316,west,office,app,373
317,north,sport,web,390
318,east,toy,web,407
319,east,digital,store,424
320,south,toy,store,441
321,west,office,store,458
322,north,book,web,475
323,west,toy,store,492
324,west,book,web,9
325,south,office,web,26
326,north,toy,web,43
327,west,home,web,60
328,south,food,store,77
329,west,beauty,store,94
330,west,home,store,111
331,east,beauty,store,128
332,north,book,app,145
333,west,office,web,162
334,south,food,web,179
335,north,digital,app,196
336,east,food,web,213
337,west,toy,app,230
338,south,office,store,247
339,south,office,store,264
340,east,home,app,281
341,west,sport,store,298
342,east,food,app,315
343,north,home,web,332
344,east,office,web,349
345,south,office,web,366
346,south,beauty,web,383
347,east,beauty,store,400
348,north,toy,app,417
349,south,book,app,434
350,south,office,store,451
351,north,digital,web,468
352,east,book,store,485
353,west,toy,web,2
354,north,digital,web,19
355,west,book,app,36
356,east,sport,web,53
357,north,home,app,70
358,north,home,web,87
359,north,home,app,104
360,north,beauty,store,121
361,north,beauty,web,138
362,south,toy,web,155
363,west,office,store,172
364,west,digital,store,189
365,west,book,store,206
366,west,beauty,app,223
367,east,toy,store,240
368,south,book,web,257
369,west,home,web,274
370,west,sport,app,291
371,south,digital,web,308
372,south,office,app,325
373,south,food,store,342
374,west,toy,store,359
375,east,beauty,app,376
376,west,beauty,web,393
377,north,beauty,app,410
378,north,food,app,427
379,east,book,app,444
380,north,digital,web,461
381,north,office,web,478
382,north,beauty,web,495
383,east,home,store,12
384,north,office,web,29
385,south,home,web,46
386,west,home,store,63
387,south,sport,web,80
388,east,sport,app,97
389,north,home,store,114
390,south,book,store,131
391,east,beauty,web,148
392,south,food,web,165
393,south,digital,app,182
394,west,toy,web,199
395,west,sport,store,216
396,south,beauty,store,233
397,east,toy,app,250
398,south,sport,store,267
399,north,home,app,284
400,east,digital,web,301
401,north,beauty,app,318
402,east,office,app,335
403,south,book,store,352
404,south,digital,store,369
405,west,book,store,386
406,north,food,app,403
407,east,toy,web,420
408,north,home,app,437
409,west,food,web,454
410,west,toy,app,471
411,north,home,store,488
412,west,book,web,5
413,east,sport,web,22
414,north,office,store,39
415,west,digital,app,56
416,east,toy,app,73
417,south,food,app,90
418,north,digital,store,107
419,west,home,web,124
420,east,home,app,141
421,north,food,store,158
422,south,beauty,app,175
423,south,book,web,192
424,west,home,web,209
425,north,digital,app,226
426,west,beauty,store,243
427,south,book,store,260
428,west,digital,app,277
429,north,beauty,app,294
430,north,home,store,311
431,south,digital,app,328
432,north,beauty,web,345
433,west,book,web,362
434,east,digital,web,379
435,south,book,store,396
436,east,beauty,store,413
437,west,toy,app,430
438,south,home,store,447
439,south,home,app,464
440,east,book,app,481
441,south,book,store,498
442,east,book,app,15
443,east,digital,web,32
444,north,food,web,49
445,north,toy,app,66
446,west,office,store,83
447,south,home,web,100
448,north,food,store,117
449,south,sport,app,134
450,north,beauty,store,151
451,south,home,web,168
452,south,toy,store,185
453,east,digital,app,202
454,south,toy,app,219
455,north,office,web,236
456,south,beauty,web,253
457,west,sport,web,270
458,east,food,app,287
459,south,book,app,304
460,west,home,app,321
461,west,digital,app,338
462,south,beauty,app,355
463,south,toy,store,372
464,west,digital,app,389
465,west,book,web,406
466,north,digital,store,423
467,north,toy,store,440
468,east,toy,web,457
469,north,home,web,474
470,west,sport,app,491
471,east,book,app,8
472,east,beauty,web,25
473,east,office,store,42
474,west,sport,store,59
475,north,beauty,web,76
476,south,book,store,93
477,east,digital,app,110
478,west,beauty,app,127
479,north,book,web,144
480,west,digital,app,161
481,west,toy,app,178
482,north,digital,web,195
483,east,office,app,212
484,north,office,web,229
485,north,beauty,web,246
486,east,office,store,263
487,west,book,store,280
488,west,food,store,297
489,north,office,web,314
490,north,sport,app,331
491,north,toy,app,348
492,north,book,store,365
493,north,digital,web,382
494,west,food,store,399
495,east,book,web,416
496,east,home,store,433
497,north,toy,store,450
498,west,toy,web,467
499,west,office,store,484
500,east,book,store,1
501,south,beauty,web,18
502,west,digital,store,35
503,west,digital,store,52
504,east,sport,store,69
505,east,office,store,86
506,west,food,web,103
507,south,toy,web,120
508,east,book,app,137
509,north,home,store,154
510,south,toy,store,171
511,east,digital,app,188
512,east,beauty,web,205
513,west,book,store,222
514,west,home,store,239
515,east,sport,app,256
516,north,beauty,store,273
517,east,sport,store,290
518,north,digital,store,307
519,east,food,web,324
520,south,sport,web,341
521,north,office,app,358
522,north,toy,web,375
523,west,book,store,392
524,north,office,app,409
525,south,home,app,426
526,south,office,web,443
527,south,toy,web,460
528,east,toy,web,477
529,east,office,web,494
530,south,sport,store,11
531,south,digital,web,28
532,north,food,app,45
533,north,book,app,62
534,south,digital,app,79
535,north,home,store,96
536,south,office,store,113
537,south,food,store,130
538,east,digital,store,147
539,north,beauty,store,164
540,east,beauty,store,181
541,east,book,store,198
542,south,book,app,215
543,west,office,store,232
544,north,food,app,249
545,west,beauty,web,266
546,south,toy,app,283
547,north,digital,app,300
548,north,toy,app,317
549,south,book,store,334
550,south,toy,web,351
551,south,home,app,368
552,west,food,app,385
553,south,toy,app,402
554,west,office,web,419
555,east,digital,app,436
556,west,book,app,453
557,north,book,app,470
558,west,digital,store,487
559,east,book,store,4
560,north,book,store,21
561,east,beauty,store,38
562,west,beauty,web,55
563,south,beauty,store,72
564,west,toy,web,89
565,east,digital,web,106
566,north,home,web,123
567,south,home,web,140
568,south,sport,app,157
569,south,digital,web,174
570,east,food,store,191
571,north,book,store,208
572,east,sport,store,225
573,south,toy,store,242
574,north,book,web,259
575,west,book,web,276
576,south,book,app,293
577,north,office,store,310
578,east,food,store,327
579,east,toy,store,344
580,east,home,app,361
581,west,toy,app,378
582,east,office,app,395
583,east,beauty,web,412
584,south,office,web,429
585,east,food,web,446
586,west,food,web,463
587,east,book,app,480
588,east,food,web,497
589,east,book,store,14
590,east,home,web,31
591,east,office,store,48
592,east,office,app,65
593,east,beauty,web,82
594,west,beauty,web,99
595,south,digital,web,116
596,south,office,app,133
597,south,food,app,150
598,north,book,app,167
599,east,food,store,184
600,north,beauty,store,201
601,south,book,web,218
602,north,sport,app,235
603,north,office,app,252
604,east,sport,store,269
605,west,home,app,286
606,west,food,app,303
607,east,sport,app,320
608,south,food,store,337
609,east,digital,store,354
610,north,toy,app,371
611,south,home,app,388
612,south,beauty,app,405
613,north,food,web,422
614,east,digital,app,439
615,east,sport,web,456
616,west,digital,store,473
617,west,toy,web,490
618,east,book,store,7
619,east,digital,app,24
620,west,home,app,41
621,west,office,app,58
622,west,home,store,75
623,north,beauty,web,92
624,north,office,web,109
625,south,beauty,store,126
626,west,book,web,143
627,north,office,web,160
628,south,home,store,177
629,south,book,web,194
630,east,office,app,211
631,north,home,web,228
632,west,toy,store,245
633,north,sport,web,262
634,north,food,store,279
635,south,food,app,296
636,west,food,web,313
637,east,sport,store,330
638,north,food,web,347
639,east,book,app,364
640,north,home,store,381
641,east,toy,store,398
642,south,office,app,415
643,south,food,app,432
644,north,beauty,store,449
645,south,office,app,466
646,north,office,app,483
647,east,food,web,500
648,east,office,app,17
649,west,sport,store,34
650,east,office,web,51
651,south,digital,store,68
652,east,food,store,85
653,west,book,web,102
654,east,digital,store,119
655,north,beauty,app,136
656,north,beauty,store,153
657,north,food,web,170
658,south,office,app,187
659,east,office,web,204
660,north,food,web,221
661,east,sport,web,238
662,east,beauty,store,255
663,south,book,web,272
664,east,office,store,289
665,south,book,app,306
666,south,office,app,323
667,west,beauty,store,340
668,north,food,web,357
669,east,toy,store,374
670,east,beauty,web,391
671,south,home,store,408
672,south,office,web,425
673,east,toy,store,442
674,west,digital,store,459
675,west,sport,app,476
676,east,food,app,493
677,east,home,web,10
678,west,office,web,27
679,south,sport,app,44
680,west,digital,web,61
681,west,book,app,78
682,west,toy,app,95
683,west,food,app,112
684,south,beauty,web,129
685,east,home,web,146
686,north,food,store,163
687,west,book,app,180
688,south,beauty,store,197
689,north,sport,app,214
690,south,office,app,231
691,east,food,web,248
692,east,food,web,265
693,west,food,app,282
694,south,food,app,299
695,west,book,web,316
696,north,office,app,333
697,north,office,store,350
698,north,office,store,367
699,north,beauty,web,384
700,west,food,app,401
701,north,book,app,418
702,east,office,app,435
703,north,food,store,452
704,south,home,store,469
705,west,digital,web,486
706,south,food,web,3
707,south,beauty,app,20
708,west,toy,web,37
709,west,sport,store,54
710,east,office,web,71
711,east,digital,web,88
712,south,home,app,105
713,north,office,web,122
714,east,beauty,app,139
715,north,book,web,156
716,north,sport,web,173
717,south,beauty,store,190
718,west,digital,app,207
719,south,office,web,224
720,north,toy,web,241
721,north,toy,store,258
722,west,sport,app,275
723,north,sport,app,292
724,north,book,app,309
725,west,food,web,326
726,north,book,store,343
727,east,book,app,360
728,west,toy,app,377
729,west,beauty,web,394
730,north,digital,store,411
731,north,food,web,428
732,south,home,web,445
733,west,home,app,462
734,north,digital,web,479
735,west,sport,store,496
736,south,toy,app,13
737,west,digital,store,30
738,south,toy,store,47
739,north,food,app,64
740,north,digital,app,81
741,north,digital,store,98
742,east,book,web,115
743,east,toy,web,132
744,south,food,web,149
745,east,sport,app,166
746,north,beauty,web,183
747,south,toy,web,200
748,south,beauty,web,217
749,south,digital,store,234
750,south,toy,store,251
751,east,sport,store,268
752,west,toy,web,285
753,east,office,web,302
754,west,toy,app,319
755,north,digital,store,336
756,south,digital,web,353
757,south,book,web,370
758,west,office,app,387
759,south,food,app,404
760,south,food,app,421
761,east,digital,store,438
762,east,sport,store,455
763,south,digital,app,472
764,west,book,web,489
765,south,food,web,6
766,west,digital,app,23
767,west,office,web,40
768,south,book,web,57
769,west,toy,app,74
770,south,beauty,store,91
771,west,food,store,108
772,east,book,store,125
773,east,office,app,142
774,east,food,app,159
775,east,sport,web,176
776,north,office,web,193
777,south,digital,app,210
778,east,book,app,227
779,south,toy,store,244
780,north,food,app,261
781,east,office,store,278
782,east,home,app,295
783,south,food,store,312
784,north,sport,web,329
785,east,office,web,346
786,west,digital,app,363
787,south,beauty,web,380
788,south,food,store,397
789,east,toy,app,414
790,east,beauty,web,431
791,south,digital,app,448
792,south,food,web,465
793,east,office,store,482
794,south,sport,web,499
795,north,digital,store,16
796,east,toy,app,33
797,west,sport,app,50
798,west,food,app,67
799,south,home,store,84
800,north,office,web,101
801,south,home,app,118
802,south,home,app,135
803,north,home,store,152
804,north,office,store,169
805,north,sport,web,186
806,east,digital,app,203
807,west,home,store,220
808,west,office,store,237
809,north,sport,app,254
810,east,book,store,271
811,north,beauty,store,288
812,east,toy,store,305
813,south,home,store,322
814,north,beauty,store,339
815,west,office,web,356
816,west,home,app,373
817,north,sport,app,390
818,east,beauty,app,407
819,west,sport,store,424
820,south,home,app,441
821,west,sport,app,458
822,west,home,store,475
823,north,digital,app,492
824,west,office,store,9
825,south,toy,app,26
826,west,digital,store,43
827,south,home,app,60
828,west,home,app,77
829,east,home,app,94
830,south,office,web,111
831,east,sport,web,128
832,east,sport,app,145
833,east,food,web,162
834,west,beauty,store,179
835,south,digital,web,196
836,west,beauty,store,213
837,west,sport,store,230
838,west,office,web,247
839,east,beauty,web,264
840,east,home,web,281
841,west,sport,app,298
842,south,digital,store,315
843,west,office,web,332
844,south,home,store,349
845,north,toy,store,366
846,north,home,web,383
847,south,office,store,400
848,east,toy,store,417
849,south,food,store,434
850,south,office,web,451
851,north,book,app,468
852,east,home,store,485
853,north,book,store,2
854,north,beauty,web,19
855,north,home,store,36
856,west,book,web,53
857,west,sport,web,70
858,east,sport,app,87
859,south,home,app,104
860,east,beauty,app,121
861,north,toy,store,138
862,south,office,store,155
863,south,beauty,app,172
864,south,beauty,web,189
865,east,food,app,206
866,south,toy,app,223
867,north,sport,store,240
868,west,home,store,257
869,west,digital,app,274
870,north,home,store,291
871,north,sport,app,308
872,east,digital,store,325
873,west,home,store,342
874,west,sport,app,359
875,west,food,web,376
876,west,book,web,393
877,east,toy,store,410
878,east,office,web,427
879,west,food,store,444
880,south,beauty,store,461
881,east,sport,store,478
882,south,home,web,495
883,north,book,store,12
884,south,office,store,29
885,east,beauty,app,46
886,west,book,store,63
887,west,book,store,80
888,south,sport,web,97
889,west,office,store,114
890,north,beauty,store,131
891,east,book,store,148
892,north,toy,store,165
893,west,toy,web,182
894,south,office,store,199
895,south,sport,web,216
896,east,office,app,233
897,south,book,web,250
898,north,sport,web,267
899,south,food,store,284
900,west,office,store,301
901,south,food,app,318
902,north,book,store,335
903,east,toy,web,352
904,west,book,app,369
905,north,digital,web,386
906,south,food,store,403
907,north,home,app,420
908,east,toy,web,437
909,south,beauty,app,454
910,north,office,store,471
911,north,office,store,488
912,north,digital,store,5
913,east,office,store,22
914,west,food,app,39
915,north,sport,web,56
916,north,office,store,73
917,west,toy,web,90
918,south,book,web,107
919,north,toy,web,124
920,east,digital,app,141
921,south,toy,store,158
922,south,digital,store,175
923,east,office,web,192
924,west,food,web,209
925,north,book,web,226
926,west,food,app,243
927,north,book,app,260
928,south,sport,app,277
929,south,office,web,294
930,south,digital,web,311
931,west,digital,store,328
932,west,home,store,345
933,west,digital,store,362
934,west,toy,app,379
935,west,office,store,396
936,north,digital,web,413
937,east,digital,store,430
938,south,sport,store,447
939,east,beauty,app,464
940,west,office,store,481
941,east,book,app,498
942,north,office,app,15
943,west,toy,app,32
944,east,book,app,49
945,west,beauty,store,66
946,west,home,app,83
947,west,toy,store,100
948,south,beauty,web,117
949,east,beauty,web,134
950,north,home,store,151
951,south,home,store,168
952,west,office,web,185
953,east,office,store,202
954,west,food,web,219
955,south,toy,web,236
956,west,food,web,253
957,north,toy,app,270
958,west,toy,app,287
959,south,book,web,304
960,north,beauty,web,321
961,west,digital,store,338
962,north,toy,app,355
963,south,beauty,web,372
964,west,digital,store,389
965,west,sport,web,406
966,south,beauty,store,423
967,south,office,store,440
968,east,home,store,457
969,east,office,store,474
970,south,sport,app,491
971,east,book,web,8
972,east,book,app,25
973,north,food,store,42
974,north,toy,store,59
975,south,toy,store,76
976,north,beauty,app,93
977,north,toy,web,110
978,south,beauty,app,127
979,south,food,app,144
980,south,home,web,161
981,north,book,web,178
982,east,home,store,195
983,east,sport,store,212
984,north,food,app,229
985,south,office,web,246
986,south,office,app,263
987,south,sport,store,280
988,south,office,web,297
989,west,sport,app,314
990,east,home,app,331
991,west,digital,app,348
992,north,office,web,365
993,east,home,web,382
994,west,office,store,399
995,west,sport,store,416
996,east,home,web,433
997,north,toy,app,450
998,east,beauty,web,467
999,south,toy,store,484
1000,north,book,app,1
1001,south,toy,app,18
1002,north,food,web,35
1003,east,digital,store,52
1004,east,beauty,app,69
1005,south,sport,store,86
1006,east,office,store,103
1007,south,home,web,120
1008,east,digital,store,137
1009,south,sport,store,154
1010,east,book,app,171
1011,west,book,store,188
1012,north,beauty,store,205
1013,west,beauty,web,222
1014,north,sport,app,239
1015,west,book,app,256
1016,south,home,web,273
1017,east,office,web,290
1018,east,toy,web,307
1019,west,toy,app,324
1020,east,sport,app,341
1021,north,office,store,358
1022,south,book,web,375
1023,east,book,store,392
1024,north,food,web,409
1025,north,toy,app,426
1026,east,food,app,443
1027,west,food,store,460
1028,north,sport,web,477
1029,west,home,app,494
1030,west,office,app,11
1031,east,food,app,28
1032,south,beauty,app,45
1033,north,food,web,62
1034,south,digital,web,79
1035,south,digital,app,96
1036,south,office,web,113
1037,east,book,app,130
1038,north,toy,store,147
1039,north,office,web,164
1040,west,office,store,181
1041,south,toy,store,198
1042,east,book,web,215
1043,east,sport,store,232
1044,west,toy,web,249
1045,north,sport,web,266
1046,west,office,app,283
1047,west,beauty,app,300
1048,east,food,app,317
1049,south,beauty,store,334
1050,west,office,store,351
1051,north,book,app,368
1052,west,beauty,app,385
1053,south,office,store,402
1054,south,home,store,419
1055,south,beauty,store,436
1056,south,beauty,app,453
1057,north,sport,app,470
1058,north,book,web,487
1059,west,beauty,store,4
1060,west,toy,app,21
1061,south,home,store,38
1062,north,food,app,55
1063,north,toy,web,72
1064,east,book,app,89
1065,west,book,app,106
1066,south,sport,store,123
1067,east,beauty,app,140
1068,north,sport,app,157
1069,east,book,store,174
1070,west,food,store,191
1071,west,beauty,web,208
1072,west,digital,app,225
1073,west,toy,app,242
1074,east,home,web,259
1075,south,home,store,276
1076,south,home,web,293
1077,south,food,web,310
1078,south,toy,web,327
1079,east,office,web,344
1080,south,home,web,361
1081,east,office,store,378
1082,south,office,store,395
1083,south,office,store,412
1084,north,book,app,429
1085,north,digital,app,446
1086,east,book,app,463
1087,west,book,store,480
1088,south,beauty,app,497
1089,east,home,web,14
1090,south,office,store,31
1091,south,home,web,48
1092,south,home,app,65
1093,north,office,app,82
1094,north,sport,app,99
1095,west,digital,store,116
1096,south,beauty,web,133
1097,east,sport,store,150
1098,west,beauty,app,167
1099,north,sport,store,184
1100,north,digital,app,201
1101,north,food,web,218
1102,west,food,store,235
1103,east,home,app,252
1104,north,home,store,269
1105,north,home,web,286
1106,west,office,app,303
1107,south,book,store,320
1108,south,sport,web,337
1109,west,food,app,354
1110,south,toy,store,371
1111,north,beauty,store,388
1112,north,book,web,405
1113,south,sport,store,422
1114,west,food,app,439
1115,north,office,app,456
1116,north,digital,app,473
1117,south,office,store,490
1118,west,beauty,web,7
1119,east,book,web,24
1120,east,food,store,41
1121,west,digital,web,58
1122,west,food,store,75
1123,west,sport,web,92
1124,west,home,store,109
1125,south,toy,web,126
1126,north,toy,app,143
1127,north,sport,app,160
1128,north,toy,web,177
1129,north,book,store,194
1130,west,sport,web,211
1131,west,toy,web,228
1132,south,beauty,app,245
1133,east,sport,store,262
1134,north,home,web,279
1135,west,digital,store,296
1136,east,digital,app,313
1137,west,digital,store,330
1138,north,sport,web,347
1139,west,sport,app,364
1140,east,toy,app,381
1141,south,digital,web,398
1142,east,sport,app,415
1143,south,sport,app,432
1144,east,food,store,449
1145,east,home,web,466
1146,south,book,app,483
1147,west,food,store,500
1148,north,beauty,store,17
1149,south,sport,app,34
1150,west,food,store,51
1151,west,sport,app,68
1152,west,digital,app,85
1153,north,toy,app,102
1154,north,office,app,119
1155,west,book,web,136
1156,west,home,app,153
1157,east,book,app,170
1158,north,beauty,web,187
1159,west,book,web,204
1160,south,sport,store,221
1161,south,office,web,238
1162,south,food,app,255
1163,east,beauty,app,272
1164,east,book,web,289
1165,west,sport,store,306
1166,west,beauty,store,323
1167,west,office,app,340
1168,north,book,web,357
1169,west,book,app,374
1170,south,toy,store,391
1171,south,sport,web,408
1172,south,beauty,web,425
1173,south,food,web,442
1174,north,office,app,459
1175,south,office,app,476
1176,north,digital,store,493
1177,south,toy,web,10
1178,north,food,web,27
1179,south,toy,store,44
1180,south,office,app,61
1181,east,home,app,78
1182,east,toy,web,95
1183,north,digital,store,112
1184,east,office,store,129
1185,north,toy,web,146
1186,north,home,app,163
1187,south,book,store,180
1188,west,sport,store,197
1189,south,sport,web,214
1190,east,toy,app,231
1191,east,beauty,store,248
1192,south,digital,web,265
1193,west,toy,app,282
1194,north,beauty,web,299
1195,east,sport,web,316
1196,east,food,web,333
1197,north,toy,app,350
1198,east,book,store,367
1199,south,food,store,384
1200,east,home,web,401
1201,east,book,app,418
1202,north,food,web,435
1203,east,beauty,app,452
1204,east,food,app,469
1205,west,book,app,486
1206,east,home,app,3
1207,east,sport,app,20
1208,west,digital,app,37
1209,north,sport,web,54
1210,north,book,web,71
1211,south,office,web,88
1212,west,toy,app,105
1213,south,book,store,122
1214,north,sport,app,139
1215,north,food,store,156
1216,south,sport,web,173
1217,south,office,store,190
1218,south,digital,app,207
1219,north,sport,store,224
1220,south,office,app,241
1221,north,sport,web,258
1222,north,office,web,275
1223,west,beauty,store,292
1224,east,food,web,309
1225,west,sport,app,326
1226,north,home,web,343
1227,east,food,app,360
1228,south,home,store,377
1229,east,food,web,394
1230,west,home,app,411
1231,south,book,app,428
1232,west,sport,web,445
1233,north,digital,store,462
1234,south,sport,web,479
1235,east,digital,store,496
1236,east,office,store,13
1237,west,beauty,store,30
1238,east,beauty,store,47
1239,west,book,store,64
1240,east,book,app,81
1241,west,food,web,98
1242,south,toy,web,115
1243,south,toy,app,132
1244,south,book,app,149
1245,south,sport,app,166
1246,east,food,store,183
1247,south,food,store,200
1248,south,toy,app,217
1249,south,food,app,234
1250,east,home,store,251
1251,east,food,app,268
1252,north,sport,app,285
1253,south,beauty,store,302
1254,west,digital,store,319
1255,south,sport,web,336
1256,west,office,app,353
1257,north,beauty,app,370
1258,east,home,app,387
1259,north,beauty,web,404
1260,south,book,app,421
1261,south,book,web,438
1262,north,food,web,455
1263,south,sport,app,472
1264,west,food,web,489
1265,south,home,store,6
1266,west,toy,app,23
1267,south,toy,app,40
1268,north,beauty,app,57
1269,east,toy,app,74
1270,west,food,store,91
1271,north,toy,store,108
1272,west,office,store,125
1273,south,toy,web,142
1274,east,sport,store,159
1275,south,beauty,web,176
1276,west,food,store,193
1277,west,food,web,210
1278,south,beauty,app,227
1279,north,sport,app,244
1280,east,sport,store,261
1281,north,office,app,278
1282,east,beauty,web,295
1283,south,home,store,312
1284,west,home,store,329
1285,north,digital,web,346
1286,south,sport,web,363
1287,north,toy,store,380
