id,region,amount,status
197,north,96,ok
198,north,97,ok
199,north,98,ok
200,north,99,ok
201,north,0,review
202,north,1,ok
203,north,2,ok
204,north,3,ok
205,north,4,ok
206,north,5,review
207,north,6,ok
208,north,7,ok
209,north,8,ok
210,north,9,ok
211,north,10,review
212,north,11,ok
213,north,12,ok
214,north,13,ok
215,north,14,ok
216,north,15,review
217,north,16,ok
218,north,17,ok
219,north,18,ok
220,north,19,ok
221,north,20,review
222,north,21,ok
223,north,22,ok
224,north,23,ok
225,north,24,ok
226,north,25,review
227,north,26,ok
228,north,27,ok
229,north,28,ok
230,north,29,ok
231,north,30,review
232,north,31,ok
233,north,32,ok
234,north,33,ok
235,north,34,ok
236,north,35,review
237,north,36,ok
238,north,37,ok
239,north,38,ok
240,north,39,ok
241,north,40,review
242,north,41,ok
243,north,42,ok
244,north,43,ok
245,north,44,ok
246,north,45,review
247,north,46,ok
248,north,47,ok
249,north,48,ok
250,north,49,ok
251,north,50,review
252,north,51,ok
253,north,52,ok
254,north,53,ok
255,north,54,ok
256,north,55,review
257,north,56,ok
258,north,57,ok
259,north,58,ok
260,north,59,ok
261,north,60,review
262,north,61,ok
263,north,62,ok
264,north,63,ok
265,north,64,ok
266,north,65,review
267,north,66,ok
268,north,67,ok
269,north,68,ok
270,north,69,ok
271,north,70,review
272,north,71,ok
273,north,72,ok
274,north,73,ok
275,north,74,ok
276,north,75,review
277,north,76,ok
278,north,77,ok
279,north,78,ok
280,north,79,ok
281,north,80,review
282,north,81,ok
283,north,82,ok
284,north,83,ok
285,north,84,ok
286,north,85,review
287,north,86,ok
288,north,87,ok
289,north,88,ok
290,north,89,ok
291,north,90,review
292,north,91,ok
293,north,92,ok
294,north,93,ok
295,north,94,ok
296,north,95,review
297,north,96,ok
298,north,97,ok
299,north,98,ok
300,north,99,ok
301,north,0,review
302,north,1,ok
303,north,2,ok
304,north,3,ok
305,north,4,ok
306,north,5,review
307,north,6,ok
308,north,7,ok
309,north,8,ok
310,north,9,ok
311,north,10,review
312,north,11,ok
313,north,12,ok
314,north,13,ok
315,north,14,ok
316,north,15,review
317,north,16,ok
318,north,17,ok
319,north,18,ok
320,north,19,ok
321,north,20,review
322,north,21,ok
323,north,22,ok
324,north,23,ok
325,north,24,ok
326,north,25,review
327,north,26,ok
328,north,27,ok
329,north,28,ok
330,north,29,ok
331,north,30,review
332,north,31,ok
333,north,32,ok
334,north,33,ok
335,north,34,ok
336,north,35,review
337,north,36,ok
338,north,37,ok
339,north,38,ok
340,north,39,ok
341,north,40,review
342,north,41,ok
343,north,42,ok
344,north,43,ok
345,north,44,ok
346,north,45,review
347,north,46,ok
348,north,47,ok
349,north,48,ok
350,north,49,ok
351,north,50,review
352,north,51,ok
353,north,52,ok
354,north,53,ok
355,north,54,ok
356,north,55,review
357,north,56,ok
358,north,57,ok
359,north,58,ok
360,north,59,ok
361,north,60,review
362,north,61,ok
363,north,62,ok
364,north,63,ok
365,north,64,ok
366,north,65,review
367,north,66,ok
368,north,67,ok
369,north,68,ok
370,north,69,ok
371,north,70,review
372,north,71,ok
373,north,72,ok
374,north,73,ok
375,north,74,ok
376,north,75,review
377,north,76,ok
378,north,77,ok
379,north,78,ok
380,north,79,ok
381,north,80,review
382,north,81,ok
383,north,82,ok
384,north,83,ok
385,north,84,ok
386,north,85,review
387,north,86,ok
388,north,87,ok
389,north,88,ok
390,north,89,ok
391,north,90,review
392,north,91,ok
393,north,92,ok
394,north,93,ok
395,north,94,ok
396,north,95,review
397,north,96,ok
398,north,97,ok
399,north,98,ok
400,north,99,ok
401,north,0,review
402,north,1,ok
403,north,2,ok
404,north,3,ok
405,north,4,ok
406,north,5,review
407,north,6,ok
408,north,7,ok
409,north,8,ok
410,north,9,ok
411,north,10,review
412,north,11,ok
413,north,12,ok
414,north,13,ok
415,north,14,ok
416,north,15,review
417,north,16,ok
418,north,17,ok
419,north,18,ok
420,north,19,ok
421,north,20,review
422,north,21,ok
423,north,22,ok
424,north,23,ok
425,north,24,ok
426,north,25,review
427,north,26,ok
428,north,27,ok
429,north,28,ok
430,north,29,ok
431,north,30,review
432,north,31,ok
433,north,32,ok
434,north,33,ok
435,north,34,ok
436,north,35,review
437,north,36,ok
438,north,37,ok
439,north,38,ok
440,north,39,ok
441,north,40,review
442,north,41,ok
443,north,42,ok
444,north,43,ok
445,north,44,ok
446,north,45,review
447,north,46,ok
448,north,47,ok
449,north,48,ok
450,north,49,ok
451,north,50,review
452,north,51,ok
453,north,52,ok
454,north,53,ok
455,north,54,ok
456,north,55,review
457,north,56,ok
458,north,57,ok
459,north,58,ok
460,north,59,ok
461,north,60,review
462,north,61,ok
463,north,62,ok
464,north,63,ok
465,north,64,ok
466,north,65,review
467,north,66,ok
468,north,67,ok
469,north,68,ok
470,north,69,ok
471,north,70,review
472,north,71,ok
473,north,72,ok
474,north,73,ok
475,north,74,ok
476,north,75,review
477,north,76,ok
478,north,77,ok
479,north,78,ok
480,north,79,ok
481,north,80,review
482,north,81,ok
483,north,82,ok
484,north,83,ok
485,north,84,ok
486,north,85,review
487,north,86,ok
488,north,87,ok
489,north,88,ok
490,north,89,ok
491,north,90,review
492,north,91,ok
493,north,92,ok
494,north,93,ok
495,north,94,ok
496,north,95,review
497,north,96,ok
498,north,97,ok
499,north,98,ok
500,north,99,ok
501,north,0,review
502,north,1,ok
503,north,2,ok
504,north,3,ok
505,north,4,ok
506,north,5,review
507,north,6,ok
508,north,7,ok
509,north,8,ok
510,north,9,ok
511,north,10,review
512,north,11,ok
513,north,12,ok
514,north,13,ok
515,north,14,ok
516,north,15,review
517,north,16,ok
518,north,17,ok
519,north,18,ok
520,north,19,ok
521,north,20,review
522,north,21,ok
523,north,22,ok
524,north,23,ok
525,north,24,ok
526,north,25,review
527,north,26,ok
528,north,27,ok
529,north,28,ok
530,north,29,ok
531,north,30,review
532,north,31,ok
533,north,32,ok
534,north,33,ok
535,north,34,ok
536,north,35,review
537,north,36,ok
538,north,37,ok
539,north,38,ok
540,north,39,ok
541,north,40,review
542,north,41,ok
543,north,42,ok
544,north,43,ok
545,north,44,ok
546,north,45,review
547,north,46,ok
548,north,47,ok
549,north,48,ok
550,north,49,ok
551,north,50,review
552,north,51,ok
553,north,52,ok
554,north,53,ok
555,north,54,ok
556,north,55,review
557,north,56,ok
558,north,57,ok
559,north,58,ok
560,north,59,ok
561,north,60,review
562,north,61,ok
563,north,62,ok
564,north,63,ok
565,north,64,ok
566,north,65,review
567,north,66,ok
568,north,67,ok
569,north,68,ok
570,north,69,ok
571,north,70,review
572,north,71,ok
573,north,72,ok
574,north,73,ok
575,north,74,ok
576,north,75,review
577,north,76,ok
578,north,77,ok
579,north,78,ok
580,north,79,ok
581,north,80,review
582,north,81,ok
583,north,82,ok
584,north,83,ok
585,north,84,ok
586,north,85,review
587,north,86,ok
588,north,87,ok
589,north,88,ok
590,north,89,ok
591,north,90,review
592,north,91,ok
593,north,92,ok
594,north,93,ok
595,north,94,ok
596,north,95,review
597,north,96,ok
598,north,97,ok
599,north,98,ok
600,north,99,ok
601,north,0,review
602,north,1,ok
603,north,2,ok
604,north,3,ok
605,north,4,ok
606,north,5,review
607,north,6,ok
608,north,7,ok
609,north,8,ok
610,north,9,ok
611,north,10,review
612,north,11,ok
613,north,12,ok
614,north,13,ok
615,north,14,ok
616,north,15,review
617,north,16,ok
618,north,17,ok
619,north,18,ok
620,north,19,ok
621,north,20,review
622,north,21,ok
623,north,22,ok
624,north,23,ok
625,north,24,ok
626,north,25,review
627,north,26,ok
628,north,27,ok
629,north,28,ok
630,north,29,ok
631,north,30,review
632,north,31,ok
633,north,32,ok
634,north,33,ok
635,north,34,ok
636,north,35,review
637,north,36,ok
638,north,37,ok
639,north,38,ok
640,north,39,ok
641,north,40,review
642,north,41,ok
643,north,42,ok
644,north,43,ok
645,north,44,ok
646,north,45,review
647,north,46,ok
648,north,47,ok
649,north,48,ok
650,north,49,ok
651,north,50,review
652,north,51,ok
653,north,52,ok
654,north,53,ok
655,north,54,ok
656,north,55,review
657,north,56,ok
658,north,57,ok
659,north,58,ok
660,north,59,ok
661,north,60,review
662,north,61,ok
663,north,62,ok
664,north,63,ok
665,north,64,ok
666,north,65,review
667,north,66,ok
668,north,67,ok
669,north,68,ok
670,north,69,ok
671,north,70,review
672,north,71,ok
673,north,72,ok
674,north,73,ok
675,north,74,ok
676,north,75,review
677,north,76,ok
678,north,77,ok
679,north,78,ok
680,north,79,ok
681,north,80,review
682,north,81,ok
683,north,82,ok
684,north,83,ok
685,north,84,ok
686,north,85,review
687,north,86,ok
688,north,87,ok
689,north,88,ok
690,north,89,ok
691,north,90,review
692,north,91,ok
693,north,92,ok
694,north,93,ok
695,north,94,ok
696,north,95,review
697,north,96,ok
698,north,97,ok
699,north,98,ok
700,north,99,ok
701,north,0,review
702,north,1,ok
703,north,2,ok
704,north,3,ok
705,north,4,ok
706,north,5,review
707,north,6,ok
708,north,7,ok
709,north,8,ok
710,north,9,ok
711,north,10,review
712,north,11,ok
713,north,12,ok
714,north,13,ok
715,north,14,ok
716,north,15,review
717,north,16,ok
718,north,17,ok
719,north,18,ok
720,north,19,ok
721,north,20,review
722,north,21,ok
723,north,22,ok
724,north,23,ok
725,north,24,ok
726,north,25,review
727,north,26,ok
728,north,27,ok
729,north,28,ok
730,north,29,ok
731,north,30,review
732,north,31,ok
733,north,32,ok
734,north,33,ok
735,north,34,ok
736,north,35,review
737,north,36,ok
738,north,37,ok
739,north,38,ok
740,north,39,ok
741,north,40,review
742,north,41,ok
743,north,42,ok
744,north,43,ok
745,north,44,ok
746,north,45,review
747,north,46,ok
748,north,47,ok
749,north,48,ok
750,north,49,ok
751,north,50,review
752,north,51,ok
753,north,52,ok
754,north,53,ok
755,north,54,ok
756,north,55,review
757,north,56,ok
758,north,57,ok
759,north,58,ok
760,north,59,ok
761,north,60,review
762,north,61,ok
763,north,62,ok
764,north,63,ok
765,north,64,ok
766,north,65,review
767,north,66,ok
768,north,67,ok
769,north,68,ok
770,north,69,ok
771,north,70,review
772,north,71,ok
773,north,72,ok
774,north,73,ok
775,north,74,ok
776,north,75,review
777,north,76,ok
778,north,77,ok
779,north,78,ok
780,north,79,ok
781,north,80,review
782,north,81,ok
783,north,82,ok
784,north,83,ok
785,north,84,ok
786,north,85,review
787,north,86,ok
788,north,87,ok
789,north,88,ok
790,north,89,ok
791,north,90,review
792,north,91,ok
793,north,92,ok
794,north,93,ok
795,north,94,ok
796,north,95,review
797,north,96,ok
798,north,97,ok
799,north,98,ok
800,north,99,ok
801,north,0,review
802,north,1,ok
803,north,2,ok
804,north,3,ok
805,north,4,ok
806,north,5,review
807,north,6,ok
808,north,7,ok
809,north,8,ok
810,north,9,ok
811,north,10,review
812,north,11,ok
813,north,12,ok
814,north,13,ok
815,north,14,ok
816,north,15,review
817,north,16,ok
818,north,17,ok
819,north,18,ok
820,north,19,ok
821,north,20,review
822,north,21,ok
823,north,22,ok
824,north,23,ok
825,north,24,ok
826,north,25,review
827,north,26,ok
828,north,27,ok
829,north,28,ok
830,north,29,ok
831,north,30,review
832,north,31,ok
833,north,32,ok
834,north,33,ok
835,north,34,ok
836,north,35,review
837,north,36,ok
838,north,37,ok
839,north,38,ok
840,north,39,ok
841,north,40,review
842,north,41,ok
843,north,42,ok
844,north,43,ok
845,north,44,ok
846,north,45,review
847,north,46,ok
848,north,47,ok
849,north,48,ok
850,north,49,ok
851,north,50,review
852,north,51,ok
853,north,52,ok
854,north,53,ok
855,north,54,ok
856,north,55,review
857,north,56,ok
858,north,57,ok
859,north,58,ok
860,north,59,ok
861,north,60,review
862,north,61,ok
863,north,62,ok
864,north,63,ok
865,north,64,ok
866,north,65,review
867,north,66,ok
868,north,67,ok
869,north,68,ok
870,north,69,ok
871,north,70,review
872,north,71,ok
873,north,72,ok
874,north,73,ok
875,north,74,ok
876,north,75,review
877,north,76,ok
878,north,77,ok
879,north,78,ok
880,north,79,ok
881,north,80,review
882,north,81,ok
883,north,82,ok
884,north,83,ok
885,north,84,ok
886,north,85,review
887,north,86,ok
888,north,87,ok
889,north,88,ok
890,north,89,ok
891,north,90,review
892,north,91,ok
893,north,92,ok
894,north,93,ok
895,north,94,ok
896,north,95,review
897,north,96,ok
898,north,97,ok
899,north,98,ok
900,north,99,ok
901,north,0,review
902,north,1,ok
903,north,2,ok
904,north,3,ok
905,north,4,ok
906,north,5,review
907,north,6,ok
908,north,7,ok
909,north,8,ok
910,north,9,ok
911,north,10,review
912,north,11,ok
913,north,12,ok
914,north,13,ok
915,north,14,ok
916,north,15,review
917,north,16,ok
918,north,17,ok
919,north,18,ok
920,north,19,ok
921,north,20,review
922,north,21,ok
923,north,22,ok
924,north,23,ok
925,north,24,ok
926,north,25,review
927,north,26,ok
928,north,27,ok
929,north,28,ok
930,north,29,ok
931,north,30,review
932,north,31,ok
933,north,32,ok
934,north,33,ok
935,north,34,ok
936,north,35,review
937,north,36,ok
938,north,37,ok
939,north,38,ok
940,north,39,ok
941,north,40,review
942,north,41,ok
943,north,42,ok
944,north,43,ok
945,north,44,ok
946,north,45,review
947,north,46,ok
948,north,47,ok
949,north,48,ok
950,north,49,ok
951,north,50,review
952,north,51,ok
953,north,52,ok
954,north,53,ok
955,north,54,ok
956,north,55,review
957,north,56,ok
958,north,57,ok
959,north,58,ok
960,north,59,ok
961,north,60,review
962,north,61,ok
963,north,62,ok
964,north,63,ok
965,north,64,ok
966,north,65,review
967,north,66,ok
968,north,67,ok
969,north,68,ok
970,north,69,ok
971,north,70,review
972,north,71,ok
973,north,72,ok
974,north,73,ok
975,north,74,ok
976,north,75,review
977,north,76,ok
978,north,77,ok
979,north,78,ok
980,north,79,ok
981,north,80,review
982,north,81,ok
983,north,82,ok
984,north,83,ok
985,north,84,ok
986,north,85,review
987,north,86,ok
988,north,87,ok
989,north,88,ok
990,north,89,ok
991,north,90,review
992,north,91,ok
993,north,92,ok
994,north,93,ok
995,north,94,ok
996,north,95,review
997,north,96,ok
998,north,97,ok
999,north,98,ok
1000,north,99,ok
1001,north,0,review
1002,north,1,ok
1003,north,2,ok
1004,north,3,ok
1005,north,4,ok
1006,north,5,review
1007,north,6,ok
1008,north,7,ok
1009,north,8,ok
1010,north,9,ok
1011,north,10,review
1012,north,11,ok
1013,north,12,ok
1014,north,13,ok
1015,north,14,ok
1016,north,15,review
1017,north,16,ok
1018,north,17,ok
1019,north,18,ok
1020,north,19,ok
1021,north,20,review
1022,north,21,ok
1023,north,22,ok
1024,north,23,ok
1025,north,24,ok
1026,north,25,review
1027,north,26,ok
1028,north,27,ok
1029,north,28,ok
1030,north,29,ok
1031,north,30,review
1032,north,31,ok
1033,north,32,ok
1034,north,33,ok
1035,north,34,ok
1036,north,35,review
1037,north,36,ok
1038,north,37,ok
1039,north,38,ok
1040,north,39,ok
1041,north,40,review
1042,north,41,ok
1043,north,42,ok
1044,north,43,ok
1045,north,44,ok
1046,north,45,review
1047,north,46,ok
1048,north,47,ok
1049,north,48,ok
1050,north,49,ok
1051,north,50,review
1052,north,51,ok
1053,north,52,ok
1054,north,53,ok
1055,north,54,ok
1056,north,55,review
1057,north,56,ok
1058,north,57,ok
1059,north,58,ok
1060,north,59,ok
1061,north,60,review
1062,north,61,ok
1063,north,62,ok
1064,north,63,ok
1065,north,64,ok
1066,north,65,review
1067,north,66,ok
1068,north,67,ok
1069,north,68,ok
1070,north,69,ok
1071,north,70,review
1072,north,71,ok
1073,north,72,ok
1074,north,73,ok
1075,north,74,ok
1076,north,75,review
1077,north,76,ok
1078,north,77,ok
1079,north,78,ok
1080,north,79,ok
1081,north,80,review
1082,north,81,ok
1083,north,82,ok
1084,north,83,ok
1085,north,84,ok
1086,north,85,review
1087,north,86,ok
1088,north,87,ok
1089,north,88,ok
1090,north,89,ok
1091,north,90,review
1092,north,91,ok
1093,north,92,ok
1094,north,93,ok
1095,north,94,ok
1096,north,95,review
1097,north,96,ok
1098,north,97,ok
1099,north,98,ok
1100,north,99,ok
1101,north,0,review
1102,north,1,ok
1103,north,2,ok
1104,north,3,ok
1105,north,4,ok
1106,north,5,review
1107,north,6,ok
1108,north,7,ok
1109,north,8,ok
1110,north,9,ok
1111,north,10,review
1112,north,11,ok
1113,north,12,ok
1114,north,13,ok
1115,north,14,ok
1116,north,15,review
1117,north,16,ok
1118,north,17,ok
1119,north,18,ok
1120,north,19,ok
1121,north,20,review
1122,north,21,ok
1123,north,22,ok
1124,north,23,ok
1125,north,24,ok
1126,north,25,review
1127,north,26,ok
1128,north,27,ok
1129,north,28,ok
1130,north,29,ok
1131,north,30,review
1132,north,31,ok
1133,north,32,ok
1134,north,33,ok
1135,north,34,ok
1136,north,35,review
1137,north,36,ok
1138,north,37,ok
1139,north,38,ok
1140,north,39,ok
1141,north,40,review
1142,north,41,ok
1143,north,42,ok
1144,north,43,ok
1145,north,44,ok
1146,north,45,review
1147,north,46,ok
1148,north,47,ok
1149,north,48,ok
1150,north,49,ok
1151,north,50,review
1152,north,51,ok
1153,north,52,ok
1154,north,53,ok
1155,north,54,ok
1156,north,55,review
1157,north,56,ok
1158,north,57,ok
1159,north,58,ok
1160,north,59,ok
1161,north,60,review
1162,north,61,ok
1163,north,62,ok
1164,north,63,ok
1165,north,64,ok
1166,north,65,review
1167,north,66,ok
1168,north,67,ok
1169,north,68,ok
1170,north,69,ok
1171,north,70,review
1172,north,71,ok
1173,north,72,ok
1174,north,73,ok
1175,north,74,ok
1176,north,75,review
1177,north,76,ok
1178,north,77,ok
1179,north,78,ok
1180,north,79,ok
1181,north,80,review
1182,north,81,ok
1183,north,82,ok
1184,north,83,ok
1185,north,84,ok
1186,north,85,review
1187,north,86,ok
1188,north,87,ok
1189,north,88,ok
1190,north,89,ok
1191,north,90,review
1192,north,91,ok
1193,north,92,ok
1194,north,93,ok
1195,north,94,ok
1196,north,95,review
1197,north,96,ok
1198,north,97,ok
1199,north,98,ok
1200,north,99,ok
1201,north,0,review
1202,north,1,ok
1203,north,2,ok
1204,north,3,ok
1205,north,4,ok
1206,north,5,review
1207,north,6,ok
1208,north,7,ok
1209,north,8,ok
1210,north,9,ok
1211,north,10,review
1212,north,11,ok
1213,north,12,ok
1214,north,13,ok
1215,north,14,ok
1216,north,15,review
1217,north,16,ok
1218,north,17,ok
1219,north,18,ok
1220,north,19,ok
1221,north,20,review
1222,north,21,ok
1223,north,22,ok
1224,north,23,ok
1225,north,24,ok
1226,north,25,review
1227,north,26,ok
1228,north,27,ok
1229,north,28,ok
1230,north,29,ok
1231,north,30,review
1232,north,31,ok
1233,north,32,ok
1234,north,33,ok
1235,north,34,ok
1236,north,35,review
1237,north,36,ok
1238,north,37,ok
1239,north,38,ok
1240,north,39,ok
1241,north,40,review
1242,north,41,ok
1243,north,42,ok
1244,north,43,ok
1245,north,44,ok
1246,north,45,review
1247,north,46,ok
1248,north,47,ok
1249,north,48,ok
1250,north,49,ok
1251,north,50,review
1252,north,51,ok
1253,north,52,ok
1254,north,53,ok
1255,north,54,ok
1256,north,55,review
1257,north,56,ok
1258,north,57,ok
1259,north,58,ok
1260,north,59,ok
1261,north,60,review
1262,north,61,ok
1263,north,62,ok
1264,north,63,ok
1265,north,64,ok
1266,north,65,review
1267,north,66,ok
1268,north,67,ok
1269,north,68,ok
1270,north,69,ok
1271,north,70,review
1272,north,71,ok
1273,north,72,ok
1274,north,73,ok
1275,north,74,ok
1276,north,75,review
1277,north,76,ok
1278,north,77,ok
1279,north,78,ok
1280,north,79,ok
1281,north,80,review
1282,north,81,ok
1283,north,82,ok
1284,north,83,ok
1285,north,84,ok
1286,north,85,review
1287,north,86,ok
1288,north,87,ok
1289,north,88,ok
1290,north,89,ok
1291,north,90,review
1292,north,91,ok
1293,north,92,ok
1294,north,93,ok
1295,north,94,ok
1296,north,95,review
1297,north,96,ok
1298,north,97,ok
1299,north,98,ok
1300,north,99,ok
1301,north,0,review
1302,north,1,ok
1303,north,2,ok
1304,north,3,ok
1305,north,4,ok
1306,north,5,review
1307,north,6,ok
1308,north,7,ok
1309,north,8,ok
1310,north,9,ok
1311,north,10,review
1312,north,11,ok
1313,north,12,ok
1314,north,13,ok
1315,north,14,ok
1316,north,15,review
1317,north,16,ok
1318,north,17,ok
1319,north,18,ok
1320,north,19,ok
1321,north,20,review
1322,north,21,ok
1323,north,22,ok
1324,north,23,ok
1325,north,24,ok
1326,north,25,review
1327,north,26,ok
1328,north,27,ok
1329,north,28,ok
1330,north,29,ok
1331,north,30,review
1332,north,31,ok
1333,north,32,ok
1334,north,33,ok
1335,north,34,ok
1336,north,35,review
1337,north,36,ok
1338,north,37,ok
1339,north,38,ok
1340,north,39,ok
1341,north,40,review
1342,north,41,ok
1343,north,42,ok
1344,north,43,ok
1345,north,44,ok
1346,north,45,review
1347,north,46,ok
1348,north,47,ok
1349,north,48,ok
1350,north,49,ok
1351,north,50,review
1352,north,51,ok
1353,north,52,ok
1354,north,53,ok
1355,north,54,ok
1356,north,55,review
1357,north,56,ok
1358,north,57,ok
1359,north,58,ok
1360,north,59,ok
1361,north,60,review
1362,north,61,ok
1363,north,62,ok
1364,north,63,ok
1365,north,64,ok
1366,north,65,review
1367,north,66,ok
1368,north,67,ok
1369,north,68,ok
1370,north,69,ok
1371,north,70,review
1372,north,71,ok
1373,north,72,ok
1374,north,73,ok
1375,north,74,ok
1376,north,75,review
1377,north,76,ok
1378,north,77,ok
1379,north,78,ok
1380,north,79,ok
1381,north,80,review
1382,north,81,ok
1383,north,82,ok
1384,north,83,ok
1385,north,84,ok
1386,north,85,review
1387,north,86,ok
1388,north,87,ok
1389,north,88,ok
1390,north,89,ok
1391,north,90,review
1392,north,91,ok
1393,north,92,ok
1394,north,93,ok
1395,north,94,ok
1396,north,95,review
1397,north,96,ok
1398,north,97,ok
1399,north,98,ok
1400,north,99,ok
1401,north,0,review
1402,north,1,ok
1403,north,2,ok
1404,north,3,ok
1405,north,4,ok
1406,north,5,review
1407,north,6,ok
1408,north,7,ok
1409,north,8,ok
1410,north,9,ok
1411,north,10,review
1412,north,11,ok
1413,north,12,ok
1414,north,13,ok
1415,north,14,ok
1416,north,15,review
1417,north,16,ok
1418,north,17,ok
1419,north,18,ok
1420,north,19,ok
1421,north,20,review
1422,north,21,ok
1423,north,22,ok
1424,north,23,ok
1425,north,24,ok
1426,north,25,review
1427,north,26,ok
1428,north,27,ok
1429,north,28,ok
1430,north,29,ok
1431,north,30,review
1432,north,31,ok
1433,north,32,ok
1434,north,33,ok
1435,north,34,ok
1436,north,35,review
1437,north,36,ok
1438,north,37,ok
1439,north,38,ok
1440,north,39,ok
1441,north,40,review
1442,north,41,ok
1443,north,42,ok
1444,north,43,ok
1445,north,44,ok
1446,north,45,review
1447,north,46,ok
1448,north,47,ok
1449,north,48,ok
1450,north,49,ok
1451,north,50,review
1452,north,51,ok
1453,north,52,ok
1454,north,53,ok
1455,north,54,ok
1456,north,55,review
1457,north,56,ok
1458,north,57,ok
1459,north,58,ok
1460,north,59,ok
1461,north,60,review
1462,north,61,ok
1463,north,62,ok
1464,north,63,ok
1465,north,64,ok
1466,north,65,review
1467,north,66,ok
1468,north,67,ok
1469,north,68,ok
1470,north,69,ok
1471,north,70,review
1472,north,71,ok
1473,north,72,ok
1474,north,73,ok
1475,north,74,ok
1476,north,75,review
1477,north,76,ok
1478,north,77,ok
1479,north,78,ok
1480,north,79,ok
1481,north,80,review
1482,north,81,ok
1483,north,82,ok
1484,north,83,ok
1485,north,84,ok
1486,north,85,review
1487,north,86,ok
1488,north,87,ok
1489,north,88,ok
1490,north,89,ok
1491,north,90,review
1492,north,91,ok
1493,north,92,ok
1494,north,93,ok
1495,north,94,ok
1496,north,95,review
1497,north,96,ok
1498,north,97,ok
1499,north,98,ok
1500,north,99,ok
1501,north,0,review
1502,north,1,ok
1503,north,2,ok
1504,north,3,ok
1505,north,4,ok
1506,north,5,review
1507,north,6,ok
1508,north,7,ok
1509,north,8,ok
1510,north,9,ok
1511,north,10,review
1512,north,11,ok
1513,north,12,ok
1514,north,13,ok
1515,north,14,ok
1516,north,15,review
1517,north,16,ok
1518,north,17,ok
1519,north,18,ok
1520,north,19,ok
1521,north,20,review
1522,north,21,ok
1523,north,22,ok
1524,north,23,ok
1525,north,24,ok
1526,north,25,review
1527,north,26,ok
1528,north,27,ok
